degrees,low_name,description,duration,degree_link,teaching_load
Bachelor's degree in Biomedical Engineering,bachelor's degree in biomedical engineering,Bachelor's degree in Biomedical Engineering is a training in which scientific and engineering subjects are intertwined with a solid grounding in biology and physiology constituting the programme's main characteristic and innovation. ,4 year,https://www.upf.edu/web/etic/grau-en-enginyeria-biomedica,240 ECTS
Bachelor's degree in Computer Engineering,bachelor's degree in computer engineering,"The degree in Computer Engineering provides, on the one hand, a fundamental and strong training in computer science which enables for the exercise of the profession and, on the other hand, it has an orientation towards digital communication, which enables to take optional plans focused on audiovisual systems, communications and multimedia contents, intelligent systems and networks and telematic services.",4 year,https://www.upf.edu/web/etic/grau-en-enginyeria-en-informatica,240 ECTS
Bachelor's degree in Telecommunications Network Engineering,bachelor's degree in telecommunications network engineering,"The main objective of the Telecommunicatios Network Engineering Degree is to train multi-skilled, flexible, creative and competitive professionals, able to conceive and design, manage and operate multimedia networks, protocols and services, to co-operate with professionals working in related technologies and to take technological decisions based on criteria of cost, quality, safety, time and respect for the principles of the profession.",4 year,https://www.upf.edu/web/etic/grau-en-enginyeria-de-xarxes-de-telecomunicacio,240 ECTS
Bachelor's degree in Audiovisual Systems Engineering,bachelor's degree in audiovisual systems engineering,"The main objective of the Bachelor's degree in Audiovisual Systems Engineering is to produce versatile, flexible, creative, competitive professionals capable of conceiving and designing audio, video and multimedia systems, working with specialists in related technologies, and making decisions on technological matters on the basis of cost, quality, safety, time and respect for the principles of their trade.",4 year,https://www.upf.edu/web/etic/grau-en-enginyeria-de-sistemes-audiovisuals,240 ECTS
Bachelor's degree in Mathematical Engineering in Data Science,bachelor's degree in mathematical engineering in data science,"The Bachelor's degree in Mathematical Engineering in Data Science provides, on the one hand, the fundamental skills that allow to process and organize large-scale volumes of information automatically. On the other hand, it provides the required statistical and machine learning tools to extract information from these data and to help in the decision making process. It proposes a solid training in mathematics and computer science that the student can extend to different types of data such as natural language, images, video, audio or music, as well as in those knowledge specific areas that use of massive data, such as personalised medicine, social network analysis, logistics or business, among others.",4 year,https://www.upf.edu/web/etic/grau-en-enginyeria-matematica-ciencia-de-dades,240 ECTS
Master in Sound and Music Computing,master in sound and music computing,"The mission of the SMC Master is to train the professionals that will push forward the sound and music technologies of the new information society. By combining practical and theoretical approaches in topics such as audio signal processing, machine learning, perception & cognition, interactive systems, and semantic technologies, the program gives the scientific and technological background needed to start a research or professional career. This program prepares its students for the research and development tasks that support practical applications related to the analysis, description, synthesis, transformation, and production of sound and music signals.",1 or 2 years,https://www.upf.edu/web/smc/,60 ECTS
Master in Cognitive Systems and Interactive Media,master in cognitive systems and interactive media,"The mission of the Master in Cognitive Systems and Interactive Media (CSIM) is to train the researchers and professionals who will investigate, develop and design the interactive cognitive systems and media of tomorrow. The results may be physical devices, such as robots, or logical ones, such as sophisticated software that provides new experiences and/or virtual environments. The CSIM programme draws on three main fields of knowledge: interactive technology, cognitive sciences and interactive media.",1 or 2 years,https://www.upf.edu/web/csim/,60 ECTS
Master in Intelligent Interactive Systems,master in intelligent interactive systems,"Future emerging technologies will provide both interactivity and intelligence. The master's programme in Intelligent Interactive Systems (IIS) addresses both trends, focusing on the design, analysis and development of agents and robots able to interact intelligently with humans and other agents, that is, agents that can perceive, plan, act, learn and communicate.",1 or 2 years,https://www.upf.edu/web/iis,60 ECTS
Master in Brain and Cognition,master in brain and cognition,"The master's programme in Brain and Cognition will guide students through the latest and most exciting findings brought about by the interaction between cognitive research and brain research, furnishing them with the theoretical and practical means to actively participate in this exciting enterprise.",1 or 2 years,https://www.upf.edu/web/mbc/,60 ECTS
Computational Biomedical Engineering Master,computational biomedical engineering master,"The field of biomedical engineering offers a huge variety of interesting topics to work on, differently weighting technological, medical and biological concepts depending on the application. However, something in common in most interesting biomedical engineering projects nowadays is the relevant role of computational tools for data processing, interpretation, integration, modelling and visualization, to name a few. This vast amount of possibilities defines the philosophy behind the CBEM MSc, empowering and giving flexibility to the student to choose and work on the research topic of her/his interest.",1 or 2 years,https://www.upf.edu/web/cbem/,60 ECTS